File Date,State,State Abbreviation,State Population,Positive,Negative,Total_Test_Results,Hospitalized,Recovered,Death,Date_Checked
20200423,Minnesota,MN,5527358.0,2942,48606,51548,712.0,1536.0,200.0,2020-04-23T20:00:00Z
20200422,Minnesota,MN,5527358.0,2721,46623,49344,660.0,1317.0,179.0,2020-04-22T20:00:00Z
20200421,Minnesota,MN,5527358.0,2567,45130,47697,629.0,1254.0,160.0,2020-04-21T20:00:00Z
20200420,Minnesota,MN,5527358.0,2470,44380,46850,602.0,1202.0,143.0,2020-04-20T20:00:00Z
20200419,Minnesota,MN,5527358.0,2356,43360,45716,574.0,1160.0,134.0,2020-04-19T20:00:00Z
20200418,Minnesota,MN,5527358.0,2213,42055,44268,561.0,1118.0,121.0,2020-04-18T20:00:00Z
20200417,Minnesota,MN,5527358.0,2071,40982,43053,518.0,1066.0,111.0,2020-04-17T20:00:00Z
20200416,Minnesota,MN,5527358.0,1912,39763,41675,475.0,1020.0,94.0,2020-04-16T20:00:00Z
20200415,Minnesota,MN,5527358.0,1809,38433,40242,445.0,940.0,87.0,2020-04-15T20:00:00Z
20200414,Minnesota,MN,5527358.0,1695,37546,39241,405.0,909.0,79.0,2020-04-14T20:00:00Z
20200413,Minnesota,MN,5527358.0,1650,36777,38427,361.0,842.0,70.0,2020-04-13T20:00:00Z
20200412,Minnesota,MN,5527358.0,1621,35800,37421,361.0,842.0,70.0,2020-04-12T20:00:00Z
20200411,Minnesota,MN,5527358.0,1427,33977,35404,340.0,793.0,64.0,2020-04-11T20:00:00Z
20200410,Minnesota,MN,5527358.0,1336,32558,33894,317.0,732.0,57.0,2020-04-10T20:00:00Z
20200409,Minnesota,MN,5527358.0,1242,31052,32294,293.0,675.0,50.0,2020-04-09T20:00:00Z
20200408,Minnesota,MN,5527358.0,1154,29599,30753,271.0,632.0,39.0,2020-04-08T20:00:00Z
20200407,Minnesota,MN,5527358.0,1069,28191,29260,242.0,549.0,34.0,2020-04-07T20:00:00Z
20200406,Minnesota,MN,5527358.0,986,27142,28128,223.0,470.0,30.0,2020-04-06T20:00:00Z
20200405,Minnesota,MN,5527358.0,935,25842,26777,202.0,451.0,29.0,2020-04-05T20:00:00Z
20200404,Minnesota,MN,5527358.0,865,24558,25423,180.0,440.0,24.0,2020-04-04T20:00:00Z
20200403,Minnesota,MN,5527358.0,789,23438,24227,156.0,0.0,22.0,2020-04-03T20:00:00Z
20200402,Minnesota,MN,5527358.0,742,21652,22394,138.0,0.0,18.0,2020-04-02T20:00:00Z
20200401,Minnesota,MN,5527358.0,689,20502,21191,122.0,0.0,17.0,2020-04-01T20:00:00Z
20200331,Minnesota,MN,5527358.0,629,19151,19780,112.0,0.0,12.0,2020-03-31T20:00:00Z
20200330,Minnesota,MN,5527358.0,576,18246,18822,92.0,0.0,10.0,2020-03-30T20:00:00Z
20200329,Minnesota,MN,5527358.0,503,17154,17657,75.0,252.0,9.0,2020-03-29T20:00:00Z
20200328,Minnesota,MN,5527358.0,441,15688,16129,57.0,220.0,5.0,2020-03-28T20:00:00Z
20200327,Minnesota,MN,5527358.0,398,13605,14003,51.0,180.0,4.0,2020-03-27T20:00:00Z
20200326,Minnesota,MN,5527358.0,346,12604,12950,41.0,0.0,2.0,2020-03-26T20:00:00Z
20200325,Minnesota,MN,5527358.0,287,11188,11475,35.0,122.0,1.0,2020-03-25T20:00:00Z
20200324,Minnesota,MN,5527358.0,262,5550,5812,21.0,0.0,1.0,2020-03-24T20:00:00Z
20200323,Minnesota,MN,5527358.0,235,4511,4746,17.0,0.0,1.0,2020-03-23T20:00:00Z
20200322,Minnesota,MN,5527358.0,169,4511,4680,12.0,0.0,1.0,2020-03-22T20:00:00Z
20200321,Minnesota,MN,5527358.0,138,3952,4090,0.0,0.0,1.0,2020-03-21T20:00:00Z
20200320,Minnesota,MN,5527358.0,115,3741,3856,0.0,0.0,0.0,2020-03-20T20:00:00Z
20200319,Minnesota,MN,5527358.0,89,2949,3038,0.0,0.0,0.0,2020-03-19T20:00:00Z
20200318,Minnesota,MN,5527358.0,77,2685,2762,0.0,0.0,0.0,2020-03-18T20:00:00Z
20200317,Minnesota,MN,5527358.0,60,2276,2336,0.0,0.0,0.0,2020-03-17T20:00:00Z
20200316,Minnesota,MN,5527358.0,54,1839,1893,0.0,0.0,0.0,2020-03-16T20:00:00Z
20200315,Minnesota,MN,5527358.0,35,1387,1422,0.0,0.0,0.0,2020-03-15T20:00:00Z
20200314,Minnesota,MN,5527358.0,21,847,868,0.0,0.0,0.0,2020-03-14T20:00:00Z
20200313,Minnesota,MN,5527358.0,14,541,555,0.0,0.0,0.0,2020-03-13T20:00:00Z
20200312,Minnesota,MN,5527358.0,9,307,316,0.0,0.0,0.0,2020-03-12T20:00:00Z
20200311,Minnesota,MN,5527358.0,5,217,222,0.0,0.0,0.0,2020-03-11T20:00:00Z
20200310,Minnesota,MN,5527358.0,3,132,135,0.0,0.0,0.0,2020-03-10T20:00:00Z
20200309,Minnesota,MN,5527358.0,2,80,82,0.0,0.0,0.0,2020-03-09T20:00:00Z
20200308,Minnesota,MN,5527358.0,1,48,49,0.0,0.0,0.0,2020-03-08T20:00:00Z
20200307,Minnesota,MN,5527358.0,1,48,49,0.0,0.0,0.0,2020-03-07T21:00:00Z
20200306,Minnesota,MN,5527358.0,0,36,36,0.0,0.0,0.0,2020-03-06T21:00:00Z
