State,State Abbreviation,State Population
Minnesota,MN,5527358.0
Mississippi,MS,2988762.0
Missouri,MO,6090062.0
Montana,MT,1041732.0
Nebraska,NE,1904760.0
Nevada,NV,2922849.0
New Hampshire,NH,1343622.0
New Jersey,NJ,8881845.0
New Mexico,NM,2092434.0
New York,NY,19618453.0
North Carolina,NC,10155624.0
North Dakota,ND,752201.0
Ohio,OH,11641879.0
Oklahoma,OK,3918137.0
Oregon,OR,4081943.0
Pennsylvania,PA,12791181.0
Rhode Island,RI,1056611.0
South Carolina,SC,4955925.0
South Dakota,SD,864289.0
Tennessee,TN,6651089.0
Texas,TX,27885195.0
Utah,UT,3045350.0
Vermont,VT,624977.0
Virginia,VA,8413774.0
West Virginia,WV,1829054.0
Washington,WA,7294336.0
Wisconsin,WI,5778394.0
Wyoming,WY,581836.0
Alabama,AL,4864680.0
Alaska,AK,738516.0
Arizona,AZ,6946685.0
Arkansas,AR,2990671.0
California,CA,39148760.0
Colorado,CO,5531141.0
Connecticut,CT,3581504.0
Delaware,DE,949495.0
District of Columbia,DC,684498.0
Florida,FL,20598139.0
Georgia,GA,10297484.0
Idaho,ID,1687809.0
Hawaii,HI,1422029.0
Illinois,IL,12821497.0
Indiana,IN,6637426.0
Iowa,IA,3132499.0
Kansas,KS,2908776.0
Kentucky,KY,4440204.0
Louisiana,LA,4663616.0
Maine,ME,1332813.0
Maryland,MD,6003435.0
Massachusetts,MA,6830193.0
Michigan,MI,9957488.0
